Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-02-13 22:02:03;2015-02-14 06:00:24;72%;7:58;;;0;12733
2015-02-14 22:10:06;2015-02-15 06:09:52;73%;7:59;;;0;7013
2015-02-16 21:14:35;2015-02-17 06:09:20;86%;8:54;;;0;15470
2015-02-17 21:05:01;2015-02-18 05:07:35;75%;8:02;;;0;11866
2015-02-18 21:12:09;2015-02-19 05:06:58;73%;7:54;;;0;13370
2015-02-19 21:22:45;2015-02-20 05:07:43;77%;7:44;;;0;9595
2015-02-20 22:46:48;2015-02-21 06:42:15;79%;7:55;;;0;9857
2015-02-22 22:06:57;2015-02-23 07:08:08;88%;9:01;;;0;8251
2015-02-23 21:14:25;2015-02-24 05:08:40;74%;7:54;;;0;10262
2015-02-24 22:00:32;2015-02-25 05:09:21;76%;7:08;;;0;15468
2015-02-25 21:15:15;2015-02-26 05:09:56;71%;7:54;;;0;18676
2015-03-03 21:37:54;2015-03-04 05:28:34;80%;7:50;;;0;5346
2015-03-04 22:20:48;2015-03-05 05:13:50;67%;6:53;;;0;16583
2015-03-05 21:47:11;2015-03-06 05:07:04;76%;7:19;;;0;15815
2015-03-06 22:43:21;2015-03-07 07:04:37;90%;8:21;;;0;10506
2015-03-08 22:04:27;2015-03-09 07:14:59;91%;9:10;;;0;5900
2015-03-09 21:42:51;2015-03-10 05:12:14;74%;7:29;;;0;13162
2015-03-10 21:23:50;2015-03-11 05:12:46;77%;7:48;;;0;15819
2015-03-11 21:39:27;2015-03-12 05:09:57;76%;7:30;;;0;8313
2015-03-12 21:25:57;2015-03-13 05:13:17;78%;7:47;;;0;16609
2015-03-13 21:56:49;2015-03-14 06:08:43;78%;8:11;;;0;11193
2015-03-14 22:08:04;2015-03-15 06:11:03;70%;8:02;;;0;8219
2015-03-15 22:49:36;2015-03-16 07:28:40;78%;8:39;;;0;7515
2015-03-16 21:48:28;2015-03-17 04:12:43;55%;6:24;;;0;16775
2015-03-17 21:32:07;2015-03-18 05:11:41;74%;7:39;;;0;7761
2015-03-18 21:25:53;2015-03-19 05:12:18;66%;7:46;;;0;10003
2015-03-19 21:21:07;2015-03-20 05:09:32;72%;7:48;;;0;14431
2015-03-20 21:34:53;2015-03-21 06:13:58;68%;8:39;;;0;10986
2015-03-22 22:19:40;2015-03-23 07:30:58;88%;9:11;;;0;8638
2015-03-23 21:34:27;2015-03-24 05:13:56;69%;7:39;;;0;11805
2015-03-24 21:39:22;2015-03-25 05:08:38;67%;7:29;;;0;15477
2015-03-25 21:35:27;2015-03-26 05:11:39;71%;7:36;;;0;9166
2015-03-26 21:23:57;2015-03-27 05:11:11;75%;7:47;;;0;20340
2015-03-30 21:39:30;2015-03-31 05:10:54;72%;7:31;;;0;12654
2015-03-31 21:12:47;2015-04-01 05:10:42;74%;7:57;;;0;13792
2015-04-01 22:22:46;2015-04-02 05:21:20;70%;6:58;;;0;7640
2015-04-02 21:32:45;2015-04-03 05:10:15;80%;7:37;;;0;13140
2015-04-03 22:36:48;2015-04-04 06:57:49;81%;8:21;;;0;9047
2015-04-05 21:53:59;2015-04-06 06:49:31;83%;8:55;;;0;3362
2015-04-06 21:32:40;2015-04-07 05:04:07;77%;7:31;;;0;17240
2015-04-07 23:08:23;2015-04-08 06:09:50;71%;7:01;;;0;12204
2015-04-08 21:33:44;2015-04-09 05:11:35;65%;7:37;;;0;8997
2015-04-09 21:51:15;2015-04-10 05:13:50;52%;7:22;;;0;11371
2015-04-10 21:49:08;2015-04-11 06:01:34;83%;8:12;;;0;9286
2015-04-11 22:43:22;2015-04-12 06:05:48;69%;7:22;;;0;9225
2015-04-12 22:14:27;2015-04-13 07:54:08;90%;9:39;;;0;6687
2015-04-13 21:44:30;2015-04-14 05:11:03;71%;7:26;;;0;9693
2015-04-14 21:31:58;2015-04-15 05:13:09;72%;7:41;;;0;7428
2015-04-16 21:22:19;2015-04-17 05:04:49;77%;7:42;;;0;13162
2015-04-17 23:02:53;2015-04-18 06:38:37;69%;7:35;;;0;12333
2015-04-18 22:01:19;2015-04-19 06:51:37;86%;8:50;;;0;12370
2015-04-19 22:25:03;2015-04-20 06:48:16;70%;8:23;;;0;10515
2015-04-20 21:40:46;2015-04-21 05:08:52;62%;7:28;;;0;12849
2015-04-21 20:54:17;2015-04-22 05:12:43;66%;8:18;;;0;6581
2015-04-22 21:40:33;2015-04-23 05:12:31;75%;7:31;;;0;7453
2015-04-23 22:20:56;2015-04-24 06:12:54;52%;7:51;;;0;14788
2015-04-26 22:46:38;2015-04-27 07:12:38;69%;8:25;;;0;10182
2015-04-27 21:50:18;2015-04-28 05:12:33;77%;7:22;;;0;9089
2015-04-28 21:16:55;2015-04-29 05:12:37;72%;7:55;;;0;5781
